NST,JCONV,CHG,dt0,DIVF(1),DIVFrms,DT(ND),T(ND)
343.0,2.0,2.21e-09,10000.0,-7.11e-09,7.11e-09,-2.19e-07,308.63
344.0,2.0,2.13e-09,10000.0,-6.82e-09,6.82e-09,-2.11e-07,308.63
345.0,2.0,1.08e-09,10000.0,-3.47e-09,3.47e-09,-1.07e-07,308.63
346.0,73.0,0.158,5000.0,3.35e-09,0.0124,1.03e-07,308.63
347.0,53.0,0.0605,2500.0,-1.78e-05,0.00475,-0.000549,308.63
348.0,53.0,0.029,1250.0,-3.83e-05,0.00474,-0.00118,308.63
349.0,54.0,0.0158,1250.0,-3.95e-05,0.00496,-0.00122,308.63
350.0,53.0,0.0177,1250.0,-3.08e-05,0.00473,-0.00095,308.63
351.0,2.0,1.07e-05,6250.0,-3.53e-05,3.53e-05,-0.00109,308.63
352.0,2.0,8.74e-06,10000.0,-2.84e-05,2.84e-05,-0.000876,308.63
353.0,2.0,9.28e-06,10000.0,-3.01e-05,3.01e-05,-0.000928,308.62
354.0,2.0,9.52e-06,10000.0,-3.09e-05,3.09e-05,-0.000952,308.62
355.0,2.0,7.93e-06,10000.0,-2.58e-05,2.58e-05,-0.000795,308.62
356.0,2.0,6.61e-06,10000.0,-2.14e-05,2.14e-05,-0.000662,308.62
357.0,2.0,5.53e-06,10000.0,-1.79e-05,1.79e-05,-0.000554,308.62
358.0,2.0,4.64e-06,10000.0,-1.51e-05,1.51e-05,-0.000465,308.62
359.0,2.0,3.89e-06,10000.0,-1.26e-05,1.26e-05,-0.00039,308.62
360.0,2.0,3.27e-06,10000.0,-1.06e-05,1.06e-05,-0.000328,308.62
361.0,2.0,2.74e-06,10000.0,-8.91e-06,8.91e-06,-0.000275,308.62
362.0,2.0,2.3e-06,10000.0,-7.48e-06,7.48e-06,-0.000231,308.62
363.0,2.0,1.93e-06,10000.0,-6.28e-06,6.28e-06,-0.000194,308.62
364.0,2.0,1.62e-06,10000.0,-5.27e-06,5.27e-06,-0.000163,308.62
365.0,2.0,1.36e-06,10000.0,-4.42e-06,4.42e-06,-0.000137,308.62
366.0,2.0,1.15e-06,10000.0,-3.72e-06,3.72e-06,-0.000115,308.62
367.0,2.0,9.62e-07,10000.0,-3.12e-06,3.12e-06,-9.64e-05,308.62
368.0,2.0,8.09e-07,10000.0,-2.63e-06,2.63e-06,-8.1e-05,308.62
369.0,2.0,6.79e-07,10000.0,-2.21e-06,2.21e-06,-6.81e-05,308.62
370.0,2.0,5.72e-07,10000.0,-1.86e-06,1.86e-06,-5.73e-05,308.62
371.0,2.0,4.81e-07,10000.0,-1.56e-06,1.56e-06,-4.82e-05,308.62
372.0,2.0,4e-07,10000.0,-1.3e-06,1.3e-06,-4.01e-05,308.62
373.0,2.0,3.35e-07,10000.0,-1.09e-06,1.09e-06,-3.36e-05,308.62
374.0,2.0,2.85e-07,10000.0,-9.26e-07,9.26e-07,-2.86e-05,308.62
375.0,2.0,2.39e-07,10000.0,-7.76e-07,7.76e-07,-2.39e-05,308.62
376.0,2.0,2.01e-07,10000.0,-6.53e-07,6.53e-07,-2.01e-05,308.62
377.0,2.0,1.64e-07,10000.0,-5.33e-07,5.33e-07,-1.65e-05,308.62
378.0,2.0,1.39e-07,10000.0,-4.51e-07,4.51e-07,-1.39e-05,308.62
379.0,2.0,1.19e-07,10000.0,-3.85e-07,3.85e-07,-1.19e-05,308.62
380.0,2.0,9.84e-08,10000.0,-3.19e-07,3.19e-07,-9.86e-06,308.62
381.0,2.0,8.73e-08,10000.0,-2.83e-07,2.83e-07,-8.75e-06,308.62
382.0,2.0,7e-08,10000.0,-2.27e-07,2.27e-07,-7.01e-06,308.62
383.0,2.0,5.96e-08,10000.0,-1.94e-07,1.94e-07,-5.97e-06,308.62
384.0,2.0,4.99e-08,10000.0,-1.62e-07,1.62e-07,-5e-06,308.62
385.0,2.0,4.22e-08,10000.0,-1.37e-07,1.37e-07,-4.23e-06,308.62
386.0,2.0,3.74e-08,10000.0,-1.21e-07,1.21e-07,-3.75e-06,308.62
387.0,2.0,2.92e-08,10000.0,-9.47e-08,9.47e-08,-2.92e-06,308.62
388.0,2.0,2.53e-08,10000.0,-8.23e-08,8.23e-08,-2.54e-06,308.62
389.0,2.0,1.91e-08,10000.0,-6.2e-08,6.2e-08,-1.91e-06,308.62
390.0,2.0,1.62e-08,10000.0,-5.24e-08,5.24e-08,-1.62e-06,308.62
391.0,2.0,1.39e-08,10000.0,-4.51e-08,4.51e-08,-1.39e-06,308.62
392.0,2.0,1.32e-08,10000.0,-4.27e-08,4.27e-08,-1.32e-06,308.62
393.0,2.0,8.61e-09,10000.0,-2.8e-08,2.8e-08,-8.63e-07,308.62
394.0,2.0,7.36e-09,10000.0,-2.39e-08,2.39e-08,-7.38e-07,308.62
395.0,2.0,5.54e-09,10000.0,-1.8e-08,1.8e-08,-5.55e-07,308.62
396.0,2.0,6.69e-09,10000.0,-2.17e-08,2.17e-08,-6.71e-07,308.62
397.0,2.0,6.73e-09,10000.0,-2.18e-08,2.18e-08,-6.74e-07,308.62
398.0,2.0,4.3e-09,10000.0,-1.4e-08,1.4e-08,-4.31e-07,308.62
399.0,2.0,4.14e-09,10000.0,-1.34e-08,1.34e-08,-4.15e-07,308.62
400.0,2.0,5.21e-09,10000.0,-1.69e-08,1.69e-08,-5.22e-07,308.62
